INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,VOX
1,T,090108,025758,08.776834N,082.431009W,1049,0,0,
2,T,090108,025759,08.776833N,082.431011W,1050,0,0,
3,T,090108,025800,08.776833N,082.431006W,1050,0,0,
4,T,090108,025801,08.776831N,082.431011W,1050,0,0,
5,T,090108,025804,08.776816N,082.431005W,1052,0,0,
6,T,090108,025805,08.776811N,082.431008W,1052,0,0,
7,T,090108,025806,08.776808N,082.431011W,1052,0,0,
8,T,090108,025807,08.776808N,082.431011W,1052,0,0,
9,T,090108,025808,08.776816N,082.431008W,1052,0,0,
10,T,090108,025809,08.776811N,082.431009W,1052,0,0,
11,T,090108,025810,08.776816N,082.431001W,1052,0,0,
12,T,090108,025811,08.776811N,082.430998W,1053,0,0,
13,T,090108,025812,08.776811N,082.430996W,1053,0,0,
14,T,090108,025813,08.776813N,082.430994W,1053,0,0,
15,T,090108,025814,08.776816N,082.430993W,1053,0,0,
16,T,090108,025815,08.776816N,082.430991W,1053,0,0,
17,T,090108,025816,08.776818N,082.430991W,1053,0,0,
18,T,090108,025817,08.776823N,082.430991W,1053,0,0,
19,T,090108,025818,08.776826N,082.430993W,1053,0,0,
20,T,090108,025819,08.776829N,082.430993W,1053,0,0,
21,T,090108,025820,08.776834N,082.430994W,1053,0,0,
22,T,090108,025821,08.776838N,082.430996W,1053,0,0,
23,T,090108,025822,08.776840N,082.430996W,1053,0,0,
24,T,090108,025823,08.776846N,082.430993W,1053,0,0,
25,T,090108,025824,08.776853N,082.430998W,1053,0,0,
26,T,090108,025825,08.776848N,082.431001W,1053,0,0,
27,T,090108,025826,08.776853N,082.431005W,1053,0,0,
28,T,090108,025827,08.776855N,082.431008W,1053,0,0,
29,T,090108,025828,08.776855N,082.431011W,1053,0,0,
30,T,090108,025829,08.776856N,082.431015W,1053,0,0,
31,T,090108,025830,08.776856N,082.431018W,1053,0,0,
32,T,090108,025831,08.776856N,082.431023W,1053,0,0,
33,T,090108,025832,08.776858N,082.431023W,1053,0,0,
34,T,090108,025833,08.776860N,082.431023W,1053,0,0,
35,T,090108,025834,08.776861N,082.431023W,1053,0,0,
36,T,090108,025835,08.776863N,082.431023W,1053,0,0,
37,T,090108,025836,08.776863N,082.431023W,1053,0,0,
38,T,090108,025837,08.776874N,082.431024W,1053,0,0,
39,T,090108,025838,08.776911N,082.431029W,1053,3,354,
40,T,090108,025839,08.776941N,082.431036W,1053,5,352,
41,T,090108,025840,08.776981N,082.431039W,1053,7,351,
42,T,090108,025841,08.777021N,082.431063W,1053,9,344,
43,T,090108,025842,08.777123N,082.431081W,1053,14,347,
44,T,090108,025843,08.777148N,082.431099W,1053,16,352,
45,T,090108,025844,08.777183N,082.431125W,1052,16,345,
46,T,090108,025845,08.777233N,082.431134W,1052,18,342,
47,T,090108,025846,08.777283N,082.431146W,1053,18,339,
48,T,090108,025847,08.777335N,082.431161W,1053,18,342,
49,T,090108,025848,08.777378N,082.431174W,1053,16,341,
50,T,090108,025849,08.777415N,082.431188W,1053,14,341,
51,T,090108,025850,08.777440N,082.431198W,1053,12,340,
52,T,090108,025851,08.777456N,082.431204W,1053,7,335,
53,T,090108,025852,08.777461N,082.431216W,1053,3,334,
54,T,090108,025853,08.777466N,082.431215W,1053,0,334,
55,T,090108,025854,08.777476N,082.431209W,1054,0,344,
56,T,090108,025855,08.777489N,082.431216W,1054,7,348,
57,T,090108,025856,08.777515N,082.431221W,1054,7,355,
58,T,090108,025857,08.777516N,082.431226W,1055,7,14,
59,T,090108,025858,08.777531N,082.431215W,1055,5,6,
60,T,090108,025859,08.777536N,082.431204W,1055,5,63,
61,T,090108,025900,08.777538N,082.431198W,1055,5,51,
62,T,090108,025901,08.777528N,082.431198W,1056,5,74,
63,T,090108,025902,08.777519N,082.431191W,1056,7,77,
64,T,090108,025903,08.777511N,082.431188W,1057,7,78,
65,T,090108,025904,08.777506N,082.431183W,1058,7,81,
66,T,090108,025905,08.777503N,082.431176W,1058,5,77,
67,T,090108,025906,08.777510N,082.431166W,1058,7,71,
68,T,090108,025907,08.777513N,082.431170W,1059,0,64,
69,T,090108,025908,08.777526N,082.431173W,1060,0,47,
70,T,090108,025909,08.777511N,082.431178W,1063,0,47,
71,T,090108,025910,08.777505N,082.431179W,1063,0,47,
72,T,090108,025911,08.777505N,082.431181W,1063,0,47,
73,T,090108,025912,08.777506N,082.431176W,1064,0,47,
74,T,090108,025913,08.777506N,082.431174W,1064,0,47,
75,T,090108,025914,08.777506N,082.431173W,1064,0,47,
76,T,090108,025915,08.777508N,082.431171W,1064,0,47,
77,T,090108,025916,08.777508N,082.431170W,1064,0,47,
78,T,090108,025917,08.777508N,082.431171W,1064,0,47,
79,T,090108,025918,08.777508N,082.431173W,1064,0,47,
80,T,090108,025919,08.777508N,082.431176W,1064,0,47,
81,T,090108,025920,08.777506N,082.431178W,1064,0,47,
82,T,090108,025921,08.777508N,082.431179W,1064,0,47,
83,T,090108,025922,08.777506N,082.431183W,1064,0,47,
84,T,090108,025923,08.777506N,082.431185W,1064,0,47,
85,T,090108,025924,08.777505N,082.431188W,1064,0,47,
86,T,090108,025925,08.777503N,082.431191W,1064,0,47,
87,T,090108,025926,08.777501N,082.431195W,1064,0,47,
88,T,090108,025927,08.777500N,082.431196W,1064,0,47,
89,T,090108,025928,08.777498N,082.431198W,1064,0,47,
90,T,090108,025929,08.777496N,082.431200W,1064,0,47,
91,T,090108,025930,08.777494N,082.431198W,1064,0,47,
92,T,090108,025931,08.777494N,082.431195W,1064,0,47,
93,T,090108,025932,08.777494N,082.431191W,1064,0,47,
94,T,090108,025933,08.777494N,082.431186W,1064,0,47,
95,T,090108,025934,08.777494N,082.431183W,1064,0,47,
96,T,090108,025935,08.777496N,082.431179W,1064,0,47,
97,T,090108,025936,08.777498N,082.431178W,1064,0,47,
98,T,090108,025937,08.777500N,082.431174W,1064,0,47,
99,T,090108,025938,08.777500N,082.431171W,1064,0,47,
100,T,090108,025939,08.777494N,082.431166W,1064,3,148,
101,T,090108,025940,08.777470N,082.431166W,1065,5,154,
102,T,090108,025941,08.777444N,082.431166W,1065,9,165,
103,T,090108,025942,08.777418N,082.431163W,1065,11,170,
104,T,090108,025943,08.777384N,082.431150W,1065,12,161,
105,T,090108,025944,08.777348N,082.431136W,1066,14,162,
106,T,090108,025945,08.777311N,082.431121W,1066,14,152,
107,T,090108,025946,08.777280N,082.431103W,1066,16,148,
108,T,090108,025947,08.777246N,082.431083W,1067,18,160,
109,T,090108,025948,08.777201N,082.431069W,1067,16,162,
110,T,090108,025949,08.777153N,082.431056W,1068,18,162,
111,T,090108,025950,08.777105N,082.431039W,1067,16,164,
112,T,090108,025951,08.777054N,082.431024W,1068,18,159,
113,T,090108,025952,08.776961N,082.431009W,1069,22,166,
114,T,090108,025953,08.776885N,082.431003W,1069,24,172,
115,T,090108,025954,08.776810N,082.430998W,1070,24,173,
116,T,090108,025955,08.776751N,082.430998W,1070,20,178,
117,T,090108,025956,08.776684N,082.430994W,1070,20,176,
118,T,090108,025957,08.776631N,082.431001W,1070,16,184,
119,T,090108,025958,08.776591N,082.431003W,1070,12,182,
120,T,090108,025959,08.776564N,082.431016W,1071,11,167,
121,T,090108,030000,08.776536N,082.431041W,1071,14,203,
122,T,090108,030001,08.776488N,082.431063W,1070,14,205,
123,T,090108,030002,08.776446N,082.431110W,1071,14,230,
124,T,090108,030003,08.776411N,082.431156W,1072,16,246,
125,T,090108,030004,08.776358N,082.431174W,1074,14,255,
126,T,090108,030005,08.776346N,082.431216W,1073,16,255,
127,T,090108,030006,08.776336N,082.431264W,1073,14,261,
128,T,090108,030007,08.776323N,082.431309W,1074,14,268,
129,T,090108,030008,08.776333N,082.431348W,1075,14,275,
130,T,090108,030009,08.776344N,082.431396W,1075,14,275,
131,T,090108,030010,08.776353N,082.431436W,1075,14,272,
132,T,090108,030011,08.776353N,082.431476W,1075,12,270,
133,T,090108,030012,08.776365N,082.431511W,1075,12,282,
134,T,090108,030013,08.776385N,082.431544W,1075,12,295,
135,T,090108,030014,08.776428N,082.431571W,1075,14,320,
136,T,090108,030015,08.776484N,082.431598W,1076,18,333,
137,T,090108,030016,08.776558N,082.431623W,1076,22,342,
138,T,090108,030017,08.776635N,082.431655W,1076,22,346,
139,T,090108,030018,08.776704N,082.431658W,1077,24,349,
140,T,090108,030019,08.776773N,082.431673W,1077,22,347,
141,T,090108,030020,08.776831N,082.431683W,1077,20,344,
142,T,090108,030021,08.776888N,082.431696W,1077,22,345,
143,T,090108,030022,08.776953N,082.431705W,1078,24,345,
144,T,090108,030023,08.777025N,082.431728W,1078,24,346,
145,T,090108,030024,08.777088N,082.431741W,1078,24,346,
146,T,090108,030025,08.777151N,082.431759W,1078,22,347,
147,T,090108,030026,08.777216N,082.431766W,1079,22,349,
148,T,090108,030027,08.777274N,082.431774W,1079,20,350,
149,T,090108,030028,08.777330N,082.431788W,1079,20,347,
150,T,090108,030029,08.777381N,082.431801W,1079,20,347,
151,T,090108,030030,08.777431N,082.431816W,1080,20,345,
152,T,090108,030031,08.777481N,082.431829W,1080,20,341,
153,T,090108,030032,08.777530N,082.431846W,1080,16,342,
154,T,090108,030033,08.777573N,082.431861W,1081,16,337,
155,T,090108,030034,08.777600N,082.431886W,1081,14,322,
156,T,090108,030035,08.777619N,082.431926W,1082,16,302,
157,T,090108,030036,08.777628N,082.431971W,1082,18,285,
158,T,090108,030037,08.777634N,082.432034W,1083,18,280,
159,T,090108,030038,08.777641N,082.432066W,1083,18,278,
160,T,090108,030039,08.777648N,082.432111W,1083,18,276,
161,T,090108,030040,08.777624N,082.432153W,1085,20,277,
162,T,090108,030041,08.777624N,082.432201W,1086,20,278,
163,T,090108,030042,08.777626N,082.432244W,1088,20,276,
164,T,090108,030043,08.777628N,082.432293W,1089,20,279,
165,T,090108,030044,08.777638N,082.432340W,1089,18,284,
166,T,090108,030045,08.777646N,082.432375W,1090,14,284,
167,T,090108,030046,08.777656N,082.432403W,1092,12,286,
168,T,090108,030047,08.777668N,082.432424W,1093,9,293,
169,T,090108,030048,08.777676N,082.432449W,1094,7,307,
170,T,090108,030049,08.777690N,082.432463W,1096,5,306,
171,T,090108,030050,08.777698N,082.432468W,1096,5,329,
172,T,090108,030051,08.777713N,082.432473W,1097,5,315,
173,T,090108,030052,08.777726N,082.432483W,1097,5,298,
174,T,090108,030053,08.777748N,082.432486W,1097,7,338,
175,T,090108,030054,08.777783N,082.432491W,1097,11,350,
176,T,090108,030055,08.777831N,082.432479W,1097,18,352,
177,T,090108,030056,08.777884N,082.432486W,1097,20,354,
178,T,090108,030057,08.777953N,082.432478W,1097,22,354,
179,T,090108,030058,08.778023N,082.432473W,1097,25,356,
180,T,090108,030059,08.778098N,082.432464W,1097,29,359,
181,T,090108,030100,08.778188N,082.432448W,1097,35,5,
182,T,090108,030101,08.778290N,082.432433W,1098,40,8,
183,T,090108,030102,08.778398N,082.432416W,1098,40,10,
184,T,090108,030103,08.778504N,082.432398W,1099,42,10,
185,T,090108,030104,08.778618N,082.432379W,1100,44,11,
186,T,090108,030105,08.778733N,082.432363W,1101,46,12,
187,T,090108,030106,08.778848N,082.432358W,1102,46,10,
188,T,090108,030107,08.778973N,082.432341W,1102,51,10,
